		Segment 1	Segment 2	Segment 3	Sequence
MZ130495.1	Coordinates in bp	(1, 34272)	(34273, 66067)	(66068, 101130)	-
MZ130495.1	Major genetic code	15	11	15	-
MZ130495.1	Nr genes with 11	8	5	6	19.0
MZ130495.1	Nr identical genes	2	30	14	46.0
MZ130495.1	Nr isoforms	1	7	4	12.0
MZ130495.1	Total gene count	23	43	41	107.0
MZ130495.1	Nr genes with 15	12	1	17	30.0
